subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,do_surface_ppm,do_thermo_ppm,do_below_thermo_ppm,column_name,front,back,
63341190,T4,"[['S.', 'S.', 'S.', 'S.'], ['10', '10', '10', '10'], ['ppm.', 'ppm.', 'ppm.', 'ppm.'], [""20'"", ""20'"", ""20'"", ""20'""], ['-', '', '-', '-'], ['3.8', '3.8', '3.8', '3.8']]",4,3.833333333,S. 10 ppm. 20' - 3.8,10,,3.9,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Jewell_SUMM_20200129142627943_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Jewell_SUMM_20200129142627943_0002.jpg,
63341191,T4,"[['Surface', 'Surface', 'Surface', 'Surface'], ['7.8', '7.8', '7.8', '7.8,'], ['Thermocline', 'Thermocline', 'Thermocline', 'Thermocline'], ['0.7', '0.7', '0.7', '0.7,'], ['Bottom', 'Bottom', 'Bottom', 'Bottom'], ['0.0', '0.0', '0.0', '0.0']]",4,3.666666667,Surface 7.8 Thermocline 0.7 Bottom 0.0,7.8,0.7,0,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142750524_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142750524_0002.jpg,
63341193,T4,"[['Surface-', '', 'Surface', 'Oxygen'], ['', '', '-', 'at'], ['', '', '', 'the'], ['', '', '', 'surface'], ['', '', '', 'is'], ['8.8', '0.0', '8.8', '8.8'], ['Bottom-', '', 'Bottom', 'and'], ['', '', '', 'at'], ['', '', '', 'the'], ['', '', '', 'bottom'], ['', '', '', 'is'], ['6.2', '', '6.2', '6.2.']]",4,1.25,Surface- - the surface is 8.8 Bottom- at the bottom is 6.2,8.8,,6.2,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2p2.jpeg,
63341194,T4,"[['7.9', '7.9', '7.9', '7.9'], ['ppm', 'ppm.', 'ppm', 'ppm.']]",4,3,7.9 ppm,7.9,,,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Clear_SUMM_20191125105850178_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Clear_SUMM_20191125105850178_0002.jpg,
63341196,T4,"[['Fair', 'Fair', 'fair', 'Fair'], ['(6.7)', '(6.7)', '(6.7)', '(6.7)']]",4,3.5,Fair (6.7),6.7,,,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_008.jpg,
63341197,T4,"[['(6.7)', '(6.7)', '(6.7)', '(6.7)'], ['Fair', 'Fair', 'Fair', 'Fair']]",4,4,(6.7) Fair,6.7,,,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_010.jpg,
63341198,T4,"[['(2.3', '(2.3', '(2.3', '(2.3'], ['at', 'at', 'at', 'at'], ['19m.:', '19m.;', '19m.;', '19'], ['', '', '', 'm.;'], ['6.0', '6.0', '6.0', '6.0'], ['at', 'at', 'at', 'at'], ['10', '10', '10', '10'], ['m.:', 'm.;', 'm.;', 'm.;'], ['8.7', '5.7', '8.7', '8.7'], ['suface)', 'surface)', 'surface)', 'surface)'], ['Fairly', 'Farily', 'Fairly', 'Fairly'], ['high', 'high', 'high', 'high'], ['except', 'except', 'except', 'except'], ['near', 'near', 'near', 'near'], ['bottom', 'bottom', 'bottom.', 'bottom.']]",4,3.266666667,(2.3 at 19m.; m.; 6.0 at 10 m.; 8.7 surface) Fairly high except near bottom,8.7,,2.3,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_040.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_041.jpg,
63341199,T4,"[['(2.3', '(2.3', '(2.3', '(2.3'], ['at', 'at', 'at', 'at'], ['19', '19m.;', '19m;', '19m.;'], ['m.:', '', '', ''], ['6.0', '6.0', '6.0', '6.0'], ['at', 'at', 'at', 'at'], ['10', '10m;', '10m;', '10m;'], ['m.:', '', '', ''], ['8.7', '8.7', '8.7', '8.7'], ['surface)', 'surface)', 'surface)', 'surface)'], ['', 'Fairly', 'Fairly', 'Fairly'], ['', 'high', 'high', 'high'], ['', 'except', 'except', 'except'], ['', 'near', 'near', 'near'], ['', 'bottom.', 'bottom', 'bottom']]",4,3,(2.3 at 19m.; m.: 6.0 at 10m; m.: 8.7 surface) Fairly high except near bottom,8.7,,2.3,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_SUMM_040.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_SUMM_041.jpg,
63341200,T4,"[['Surface-8.8', 'Surface-', 'Surface', 'Surface-'], ['', '', '-', ''], ['', '8.8', '8.8', '8.8'], ['Bottom', 'Bottom', 'Bottom', 'Bottom'], ['6.2', '6.2', '6.2', '6.2']]",4,2.8,Surface- - 8.8 Bottom 6.2,8.8,,6.2,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_SUMM_2.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_SUMM_2p2.jpg,
63341201,T4,"[['High', 'High', 'High'], ['at', 'at', 'at'], ['top.', 'top.', ''], ['Fairly', 'Fairly', 'top.Fairly'], ['high', 'high', 'high'], ['in', 'in', 'at'], ['middle.', 'middle.', 'middle.Low'], ['Low', 'Low', ''], ['at', 'at', 'at'], ['bottom.', 'bottom.', 'bottom']]",3,2.4,High at top. Fairly high in middle. Low at bottom.,NA,,,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_015.jpg,
63341202,T4,"[['High', 'High', 'High', 'Hight'], ['at', 'at', 'at', 'at'], ['top.', 'top.', 'top.', 'top.'], ['Fairly', 'Fairly', 'Fairly', 'Fairly'], ['high', 'high', 'high', 'high'], ['in', 'in', 'in', 'at'], ['middle.', 'middle.', 'middle.', 'middle.'], ['Low', 'Low', 'Low', 'Low'], ['at', 'in', 'at', 'at'], ['bottom.', 'bottom.', 'bottom.', 'bottom.']]",4,3.7,High at top. Fairly high in middle. Low at bottom.,NA,,,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_1E_S33_SUMM_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_1E_S33_SUMM_015.jpg,
63341203,T4,"[['Surface', 'Surface', 'Surface', 'Surface'], ['8.3', '8.3', '8.3', '8.3'], ['Bottom', 'Bottom', 'Bottom', 'Bottom'], ['6.0', '6.0', '0.0', '6.0']]",4,3.75,Surface 8.3 Bottom 6.0,8.3,,6,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Howe_SUMM_20191125112930134_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Howe_SUMM_20191125112930134_0002.jpg,
63341204,T4,"[['Surface', 'Surface', 'Surface', 'Surface'], ['8.3', '8.3', '8.3', '8.3'], ['Bottom', 'Bottom', 'Bottom', ''], ['6.0', '6.0', '6.0', '']]",4,3.5,Surface 8.3 Bottom 6.0,8.3,,6,Oxygen,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Howes_SUMM_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Crawford_Howes_SUMM_019.jpg,
