subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,column_name,data_min,data_max,units,front,back,comments
63341193,T5,"[['', '', '', 'The'], ['', '', '', 'size'], ['', '', '', 'is'], ['32.5', '32.5', '32.5', '32.5'], ['acres', '', '', 'acres.']]",4,1.6,The size is 32.5 acres,Size_Acres,32.5,,acres,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2p2.jpeg,
63341193,T6,"[['34', '34', '34', 'The'], ['ft.', 'ft.', 'ft', 'maximum'], ['', '', '', 'depth'], ['', '', '', 'is'], ['', '', '', 'about'], ['', '', '', '2/3'], ['', '', '', 'of'], ['', '', '', 'lake'], ['', '', '', 'under'], ['', '', '', 'deep'], ['', '', '', 'water.']]",4,1.272727273,34 ft. depth is about 2/3 of lake under deep water.,Maximum Depth,34,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2p2.jpeg,
63341193,T7,"[['Disc-', 'Disc', 'Dis', 'The'], ['', '-', '-', 'degree'], ['14', '14', '14', 'roughened'], ['', '', '', 'by'], ['ft.', 'ft.', 'ft.', 'storms'], ['', '', '', 'is'], ['', '', '', 'small.']]",4,1.714285714,Disc- - 14 by ft. is small.,Turbidity,14,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2p2.jpeg,
63341195,T7,"[['4', '4'], ['ft?', '']]",2,1.5,4 ft?,Turbidity,4,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Balaga_Spruce_SUMM_20191125110234818_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Balaga_Spruce_SUMM_20191125110234818_0002.jpg,
63341201,T7,"[['3.1', '3.1', '3.1'], ['Meters', 'meter', 'meters.CO2'], ['', '', 'none'], ['', '', 'foundp']]",3,1.5,3.1 Meters none foundp,Turbidity,3.1,,meters,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_015.jpg,
63341209,T7,"[['Clear.', 'Clear', 'Clear', 'Clear.']]",4,2,Clear.,Turbidity,Clear,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Bankers_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Bankers_SUMM_006.jpg,
63341210,T6,"[['95', '95', 'S.W.', '95'], ['ft', 'feet', 'and', 'feet'], ['', '', 'central', ''], ['', '', 'portions', '']]",4,1.75,95 feet central portions,Maximum Depth,95,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Beatons_SUMM_030.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Beatons_SUMM_031.jpg,
63341214,T7,"[['Clear.', 'Clear', 'Clear', 'Clear.']]",4,2,Clear.,Turbidity,Clear,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Berry_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Berry_SUMM_004.jpg,
63341224,T6,"[['62', '32ft', '62ft', '62'], ['ft', '', '', 'ft.']]",4,1.5,62 ft,Maximum Depth,62,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Second_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Second_SUMM_005.jpg,
63341226,T7,"[['clear', 'clear.', 'clear', 'clear.']]",4,2,clear,Turbidity,Clear,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Carpenter_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Carpenter_SUMM_010.jpg,
63341233,T5,"[['292', '292', '292'], ['acres', '', '']]",3,2,292 acres,Size_Acres,292,,acres,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_027.jpg,
63341233,T7,"[['8.5', '8', '8'], ['ft', '1/2', ""1/2'""], ['(disk)', '(disk)', '(disk)']]",3,2,8 ft (disk),Turbidity,8.5,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_027.jpg,
