subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,column_name,data_min,data_max,units,front,back,Comments
63341193,T3,"[['', '', '', 'Temperature'], ['', '', '', 'is'], ['17.3*C', '17.3*C.', '17.3*C', '17.3*C'], ['', '', '', 'at'], ['', '', '', 'deep'], ['(Warm)', '(Warm)', '(Warm)', 'water.']]",4,1.666666667,Temperature is 17.3*C at deep (Warm),Temperature_Deep Water,17.3,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2p2.jpeg,
63341193,T1,"[['', '', '', 'Temperature'], ['', '', '', 'is'], ['23.7*C', '23.7*C.', '23.7*C', '23.7*C'], ['(Warm)', '(Warm)', '(Warm)', 'at'], ['', '', '', 'the'], ['', '', '', 'surface.']]",4,1.666666667,Temperature is 23.7*C (Warm) the surface.,Temperature_Surface,23.7,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2p2.jpeg,
63341194,T1,"[['73*F.', '73*', '73*F', '73*F.'], ['', 'F.', '', '']]",4,1.5,73*F. F.,Temperature_Surface,73,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Clear_SUMM_20191125105850178_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Clear_SUMM_20191125105850178_0002.jpg,
63341200,T1,"[['23.7*C.', '23.7*C', '23.7°C', '23.7*'], ['', '', '', 'C.'], ['(warm)', '(Warm)', '(warm)', '(Warm)']]",4,1.333333333,23.7*C. C. (warm),Temperature_Surface,23.7,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_SUMM_2.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_SUMM_2p2.jpg,
63341205,T1,"[['74*F', '74°F.', '74*F', '74*'], ['', '', '', 'F']]",4,1.5,74*F F,Temperature_Surface,74,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_BassMareniscoTwp_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_BassMareniscoTwp_SUMM_005.jpg,
63341206,T1,"[['68', '68*F.', '68*F', '68*'], ['F', '', '', 'F']]",4,1.5,68 F,Temperature_Surface,68,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Jennings_SUMM_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Jennings_SUMM_011.jpg,
63341216,T3,"[['12.2*C.', '12.2*C', '12.2*C', '12.2*C;'], ['', '', '(3', '3'], ['', '', 'ft)', 'ft']]",4,1.333333333,12.2*C (3 ft),Temperature_Deep Water,12.2,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Cobb_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Cobb_SUMM_005.jpg,
63341216,T1,"[['23*', '23*C', '23*C', '23*'], ['C.', '', '', 'C']]",4,1.5,23* C.,Temperature_Surface,23,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Cobb_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Cobb_SUMM_005.jpg,
63341217,T1,"[['25.2*C', '25.2*C', '25.2', '25.2*'], ['', '', '°C', 'C']]",4,1.5,25.2*C °C,Temperature_Surface,25.2,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_HastingsLittle_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_HastingsLittle_SUMM_006.jpg,
63341233,T3,"[['11.5*', '11.5', '11.5'], ['C', '', '']]",3,1.5,11.5 C,Temperature_Deep Water,11.5,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_027.jpg,
