subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,location_min,location_max,units,thermo_temp_top,thermo_temp_bottom,units,comments,URL_front,URL_back,column_name
63264308,T16,"[[""12'"", '12’'], ['-', '-'], ['21.3,', '21.3,'], [""15'"", '15’'], ['-', '-'], ['17.4,', '17.4,'], [""17'"", '17’'], ['-', '-14.3°'], ['14.3*C.', 'C']]",2,1.444444444,"12' - 21.3, 15' - 17.4, 17' - 14.3*C.",yes,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0006.jpg,Thermocline_Present
63264308,T17,"[['', '', ""12-17'"", ""12'""], ['', '', '', '-'], ['', '', '', '21.3,'], ['', '', '', ""15'""], ['ft.', 'ft.', '', '17.4'], ['', '', '', '-'], ['', '', '', '14.3*C']]",4,1.142857143,"12-17' - 21.3, 15' ft. - 14.3*C",12,17,feet,21.3,14.3,C,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0006.jpg,Thermocline_location
63264316,T17,"[[""16'-25"", '16', ""16'-25"", '16-25'], ['Temp.', '', '', 'Temperature'], ['range:', '', '', 'range:'], ['18.4*C', '', '', '18.4-11.2*C'], ['-', '-', '', ''], ['11.2*C', '25', '', ''], ['', 'feet', '', '']]",4,1.428571429,16'-25 Temp. range: 18.4*C - 11.2*C feet,16,25,feet,18.4,11.2,C,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140457447_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140457447_0002.jpg,Thermocline_location
63264317,T16,[['15-291']],1,1,15-291,yes,291,feet,65,48,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140509982_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140509982_0002.jpg,Thermocline_Present
63264318,T17,"[['24.8-11.2', '24.8-11.2°C', '24.8-11.2*C', '24.8'], ['degrees', '', '', '-'], ['C', '', '', '11.2*C']]",4,1,24.8-11.2 degrees C,24.8,24.8,feet,11.2,11.2,C,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0002.jpg,Thermocline_location
63264322,T17,"[['24-28', '24', '24-28', ""24-28'""], ['', '-', '', ''], ['', '28', '', ''], ['Ft.', 'ft.', 'ft.', '']]",4,1.5,24-28 - 28 ft.,24,28,feet,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0002.jpg,Thermocline_location
63264330,T17,[['None']],1,1,None,,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_3.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_3p2.jpeg,Thermocline_location
63264334,T17,"[[""14-18'"", '14-18', '14', '14-18'], ['', 'feet', '-', 'feet.'], ['', '', '18', ''], ['', '', 'ft.', '']]",4,1.25,14-18 feet 18 ft.,14,18,feet,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Fox_022_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Fox_022_SUMM_0002.jpg,Thermocline_location
63264348,T17,"[['30-50', ""30-50'"", '30', '30-50'], ['', '', '-', ''], ['', '', '50', ''], ['ft.', '', 'ft.', 'ft.']]",4,1.75,30-50 - 50 ft.,30,50,feet,69,49,F,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Walloon_131_SUMM_0002.jpg,Thermocline_location
63264358,T17,[['-']],1,1,-,,,,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_024.jpg,Thermocline_location
63264359,T17,"[['28', '28-54', '28-54', ""28-54'""], ['-', '', '', ''], ['54', '', '', ''], ['ft.', 'feet', 'ft.', '']]",4,1.5,28-54 - 54 ft.,28,54,feet,,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg,Thermocline_location
