subject_id,workflow_id,task,reducer,data.aggregation_version,no_data, yellow_perch, largemouth_bass, bluntnose_minnow, iowa_darter, blacknose_shiner, golden_shiner, white_sucker, bullhead_not_specified,yes_data, none_listed, northern_pike, brook_trout, rock_bass, smallmouth_bass, bluegill, walleye, banded_killifish, common_carp, pumpkinseed, johnny_darter, common_shiner, blackchin_shiner, brown_trout, blacknose_minnow, cisco_herring_whitefish, black_crappie, lake_chubsucker, brown_bullhead, black_bullhead, rainbow_trout, brook_silverside, mimic_shiner, yellow_bullhead, bowfin_dogfish, longnose_gar, spotted_gar, grass_pickerel
58643103,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643103,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643103,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643103,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643103,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643105,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643105,17911,T15,question_reducer,3.4.5,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643105,17911,T18,question_reducer,3.4.5,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643105,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643105,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643106,17911,T12,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643106,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643106,17911,T18,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643106,17911,T21,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643106,17911,T25,question_reducer,3.4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643107,17911,T12,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643107,17911,T15,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643107,17911,T18,question_reducer,3.4.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643107,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643107,17911,T25,question_reducer,3.4.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643108,17911,T12,question_reducer,3.4.5,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643108,17911,T15,question_reducer,3.4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643108,17911,T18,question_reducer,3.4.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643108,17911,T21,question_reducer,3.4.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643108,17911,T25,question_reducer,3.4.5,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643109,17911,T12,question_reducer,3.4.5,,3,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
58643109,17911,T15,question_reducer,3.4.5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643109,17911,T18,question_reducer,3.4.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58643109,17911,T21,question_reducer,3.4.5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
