subject_id,new_key,lakename,county,url_front,url_back,notes
59106695,80-261,BANKSON,VANBUREN,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/VanBuren_Bakersons_SUMM_077.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/VanBuren_Bakersons_SUMM_076.jpeg,lake name typo
58688670,75-495,BLUSH,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Blush_SUMM_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Blush_SUMM_3.jpeg,also called farm lake 
59106775,75-495,BLUSH,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Blush_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Blush_SUMM_003.jpeg,also called farm lake 
59070740,NA,BOULDER,BARAGA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_BOULDER_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_BOULDER_SUMM_0001_2.jpeg,cant find match to TRS or acres
59070787,23-154,CARR,BARRY,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_CARR_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_CARR_SUMM_0001_2.jpeg,also in Eaton county 
59070716,NA,CENTRAL,ANTRIM,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_CENTRAL_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_CENTRAL_SUMM_0001_2.jpeg,cant find lake with that name
59070753,NA,ENGMANS,BARAGA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_ENGMANS_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARAGA_ENGMANS_SUMM_0001_2.jpeg,cant find match to TRS or acres
58688646,75-966,FOLLY,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Folly_SUMM_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Folly_SUMM_3.jpeg,
59106751,75-966,FOLLY,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Folly_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Schoolcraft_Folly_SUMM_003.jpeg,
82940976,NA,FREYMUTH,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_FREYMUTH_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_FREYMUTH_SUMM_0001_2.jpeg,cant find by TRS
58687443,66-377,GOGEBIC,GOGEBIC,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Gogebic_SUMM_044.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Gogebic_SUMM_045.jpg,In two counties Ontonagon and Gogebic
59106700,NA,GREY,STJOSEPH,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/StJoseph_Grey_SUMM_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/StJoseph_Grey_SUMM_011.jpeg,cant find by TRS
58687854,43-36,GUARD,LAKE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Guard_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Guard_SUMM_003.jpg,matched based on TRS and acres; NHD has Guard Lake
