"subject_id","lake_area_min_ha","max_depth_m","secchi_min_m","secchi_max_m","development","public_fishing_text","public_fishing","methylorange_alk_min_ppm","methylorange_alk_max_ppm","dam_outlet_text","dam_passable_for_fish_text","dam_outlet","dam_passable_for_fish","dam_height_min_m","dam_height_max_m","temp_surface_min_c","temp_bottom_min_c","do_above_thermo_min_ppm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back","lake_area_max_ha","shore_dev_index","min_shoal_pct","max_shoal_pct","fishing_intensity_summer_text","fishing_intensity_winter_text","fishing_intensity_summer","fishing_intensity_winter","cottages_min_n","resorts_min_n","liveries_min_n","hotels_homes_min_n","cottages_max_n","resorts_max_n","liveries_max_n","hotels_homes_max_n","dam_effect_fish_text","dam_effect_fish","do_below_thermo_min_ppm","do_in_thermo_min_ppm","do_above_thermo_max_ppm","do_below_thermo_max_ppm","do_in_thermo_max_ppm","temp_surface_max_c","temp_bottom_max_c","thermocline_present","thermocline_loc_min_m","thermocline_loc_max_m","filename","county","lakename","new_key"
82940943,4.553,2.438,1.829,NA,NA,"yes","permitted",167,172,NA,NA,NA,NA,NA,NA,22.778,22.5,7.9,19,"July",1937,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_2.jpeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALCONA_CLEAR_SUMM_0002_1.jpeg","ALCONA","CLEAR","1-83"
82940947,80.939,27.431,NA,NA,"1 or 2 small resorts and a few other cottages.","yes","permitted",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,16,"July",1932,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_NORTH_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_NORTH_SUMM_0001_2.jpeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALCONA_NORTH_SUMM_0001_1.jpeg","ALCONA","NORTH","1-16"
82940965,87.009,15.544,NA,NA,NA,"yes","permitted",157,NA,"no",NA,"no",NA,NA,NA,26.1,10.4,7.8,21,"July",1937,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALLEGAN_DUMONT_SUMM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALLEGAN_DUMONT_SUMM_0003_2.jpeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALLEGAN_DUMONT_SUMM_0003_1.jpeg","ALLEGAN","DUMONT","3-153"
82940967,0.202,3.657,NA,NA,NA,"?",NA,NA,NA,"-","-",NA,NA,NA,NA,NA,NA,NA,23,"April",1932,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BRICKYARD_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BRICKYARD_SUMM_0001_2.jpeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JACKSON_BRICKYARD_SUMM_0001_1.jpeg","JACKSON","BRICKYARD","38-137"
82940968,0.101,NA,NA,NA,NA,"presumably allowed","permitted",NA,NA,"no",NA,"no",NA,NA,NA,NA,NA,NA,22,"April",1932,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BRICKYARD_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BRICKYARD_SUMM_0002_2.jpeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JACKSON_BRICKYARD_SUMM_0002_1.jpeg","JACKSON","BRICKYARD","38-137"
82940999,64.751,17.373,4.115,NA,"dance hall and confectionary - felix lepinski prop.","yes","permitted",114,137,NA,NA,NA,NA,NA,NA,21.111,8.3,5,23,"June",1937,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/NEWAYGO_NICHOLS_SUMM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/NEWAYGO_NICHOLS_SUMM_0003_2.jpeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEWAYGO_NICHOLS_SUMM_0003_1.jpeg","NEWAYGO","NICHOLS","62-358"
82941004,50.465,15.849,NA,NA,"on private estate. cabin near outlet.","not permitted","not permitted",NA,NA,"yes","no","yes","no",NA,NA,NA,NA,NA,25,"July",1931,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/OGEMAW_DEVOE_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/OGEMAW_DEVOE_SUMM_0001_2.jpeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OGEMAW_DEVOE_SUMM_0001_1.jpeg","OGEMAW","DEVOE","65-133"
82941006,23.553,6.096,NA,NA,"on private estate. lodge at north end.","not permitted.","not permitted",NA,NA,"former outlet completely closed","-","yes",NA,NA,NA,NA,NA,NA,5,"August",1931,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/OGEMAW_GREBET23NR34ES1712_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/OGEMAW_GREBET23NR34ES1712_SUMM_0001_2.jpeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OGEMAW_GREBET23NR34ES1712_SUMM_0001_1.jpeg","OGEMAW","GREBE","65-121"
82940949,8.903,4.572,NA,NA,NA,NA,NA,85,NA,"none",NA,"no",NA,NA,NA,NA,NA,NA,3,"November",1982,4,"November",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",NA,NA,95,NA,"vlight","vlight","light","light",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_CASEY_SUMM_0001_1.jpeg","ALGER","CASEY","2-605"
82940951,50.587,2.133,0.914,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,23.889,22.778,8.5,31,"July",1986,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_COOK_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_COOK_SUMM_0001_2.jpeg",NA,NA,100,NA,"light","light","light","light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALGER_COOK_SUMM_0001_1.jpeg","ALGER","COOK","2-95"
