"subject_id","new_key","lakename","county","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","lake_area_ha","max_depth_min_m","max_depth_max_m","secchi_min_m","secchi_max_m","development","alkalinity_min_ppm","alkalinity_max_ppm","dam_outlet_text","dam_passable_for_fish_text","dam_outlet","dam_passable_for_fish","dam_height_min_m","dam_height_max_m","do_surface_ppm","do_thermo_ppm","do_below_thermo_ppm","temp_bottom_max_c","temp_bottom_min_c","temp_surface_max_c","temp_surface_min_c","public_fishing_text","public_fishing","front","back"
58687244,"1-99","JEWELL","Alcona",19,"July",1937,19,"July",1937,78.146,6.096,NA,3.657,NA,"few cottages for rent, in barton city, grocery store, gas station, tavern.",149,158,"no",NA,"no",NA,NA,NA,10,NA,3.9,18.9,18.9,23.333,21.667,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Jewell_SUMM_20200129142627943_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Jewell_SUMM_20200129142627943_0002.jpg"
58687247,"1-83","CLEAR","Alcona",19,"July",1937,19,"July",1937,4.553,2.438,NA,1.829,NA,"none",172,167,NA,NA,NA,NA,NA,NA,7.9,NA,NA,22.5,22.5,NA,22.778,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Clear_SUMM_20191125105850178_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Clear_SUMM_20191125105850178_0002.jpg"
58687263,"3-153","DUMONT","Allegan",21,"July",1937,NA,"July",NA,87.009,15.544,NA,NA,NA,NA,157,NA,"no",NA,"no",NA,NA,NA,7.8,0.7,0,NA,10.4,NA,26.1,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142750524_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142750524_0002.jpg"
58687267,"7-6","SPRUCE","Balaga",12,"August",1937,NA,"August",NA,25.577,10.972,NA,1.219,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Balaga_Spruce_SUMM_20191125110234818_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Balaga_Spruce_SUMM_20191125110234818_0002.jpg"
58687275,"15-2","BOOTH","Charlevoix",6,"August",1937,6,"August",1937,13.153,10.363,NA,4.267,NA,NA,125,NA,"there is no outlet at the dam.","whether the dam is passable for fish is questionable.","no",NA,NA,NA,8.8,NA,6.2,NA,17.3,NA,23.7,"open is to public fishing.","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_2p2.jpeg"
58687276,"15-2","BOOTH","Charlevoix",6,"August",1937,NA,"August",NA,13.153,10.363,NA,4.267,NA,NA,125,NA,"no outlet",NA,"no",NA,NA,NA,8.8,NA,6.2,NA,17.3,NA,23.7,"open to public","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_SUMM_2.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Booth_SUMM_2p2.jpg"
58687298,"16-18","DOG","Cheboygan",15,"August",1932,15,"August",1932,73.25,1.829,NA,NA,NA,"on state forest",NA,NA,"none observed",NA,"no",NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_007.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_008.jpg"
58687301,"16-18","DOG","Cheboygan",15,"August",1932,15,"August",1932,73.25,1.829,NA,NA,NA,"part of state forest & game refuge",NA,NA,"no",NA,"no",NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_009.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Dog_SUMM_010.jpg"
58687305,"16-32","HEMLOCK","Cheboygan",28,"July",1932,NA,"July",NA,2.428,20,NA,NA,NA,"none ",NA,NA,"(see back) (over) 11. creek dammed several places far below lake by beaver: these do not affect water level. lake ordinarily not connected with stream.","no","no","no",NA,NA,8.7,NA,2.3,NA,5.556,NA,21.111,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_040.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_041.jpg"
58687307,"16-32","HEMLOCK","Cheboygan",28,"July",1932,28,"July",1932,2.428,20,NA,NA,NA,"none",NA,NA,"(see back) creek dammed several places far below lake by beaver; these do not affect water level. lake ordinarily not connected with stream.","no","no","no",NA,NA,8.7,NA,2.3,NA,5.556,NA,21.111,"permitted","permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_SUMM_040.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Hemlock_SUMM_041.jpg"
58687310,"16-14","SILVER","Cheboygan",15,"August",1931,NA,NA,NA,61.109,NA,NA,3.1,NA,"on ranch. ranch buildings on shore of lake.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not permitted","not permitted","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_014.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_1E_S33_015.jpg"
