subject_id,Filename,Reason for Removal,Removed?
58642651,Clinton_Park_GROW_088.jpg,,Yes
58642710,Iron_Fire_GROW_049.jpg - Population Estimate,,Yes
58642822,Otsego_Dixon_GROW_8.jpeg,,Yes
58642835,Ottawa_Macatawa_GROW_37.jpeg,blank,Yes
58687066,Genesse_Lobdell_25-11_1984_LIMN_001_01.jpg_Genesse_Lobdell_25-11_1984_LIMN_001_02.jpg,,Yes
58687341,Chippewa_Roxbury_Pond_#2_002.jpg_Chippewa_Roxbury_Pond_#2_003.jpg,invalid filename,Yes
58687546,GrandTraverse_GrawnPond_SUMM_013.jpg_GrandTraverse_GrawnPond_SUMM_014.jpg,Stream Survey Summary,Yes
58687567,GrandTraverse_Sand#3_SUMM_002.jpg_GrandTraverse_Sand#3_SUMM_003.jpg,invalid filename,Yes
58746521,,,Yes
58746523,,,Yes
58746525,,,Yes
58746527,,,Yes
58746528,Otsego_Opal_GROW_015.jpeg_Otsego_Opal_GROW_0100.jpeg,,Yes
58746630,,,Yes
58746632,,,Yes
58746633,,,Yes
58746634,,,Yes
58746635,,,Yes
58748833,Cheboygan_ake_FISHc_185.jpg_Cheboygan_ake_FISHc_186.jpg,removed 6/22 b/c of N-Word Creek,Yes
58753973,Cheboygan_Douglas_GROW_076.jpg_Cheboygan_Douglas_GROW_077.jpg,,Yes
58753974,,,Yes
58753975,,,Yes
58753976,,,Yes
58753977,,,Yes
58753978,,,Yes
58753982,Cheboygan_Long_GROW_020.jpg_Cheboygan_Long_GROW_023.jpg,,Yes
58753987,,,Yes
58753988,,,Yes
58753989,,,Yes
58753990,Cheboygan_Mullett_GROW_124.jpg_Cheboygan_Mullett_GROW_125.jpg,,Yes
58753991,Cheboygan_Mullett_GROW_130.jpg_Cheboygan_Mullett_GROW_131.jpg,,Yes
58753992,Cheboygan_Mullett_GROW_130.jpg_Cheboygan_Mullett_GROW_131.jpg,,Yes
58753993,Cheboygan_Mullett_GROW_132.jpg_Cheboygan_Mullett_GROW_137.jpg,,Yes
58753994,Cheboygan_Mullett_GROW_140.jpg_Cheboygan_Mullett_GROW_141.jpg,,Yes
58754001,,,Yes
58754003,,,Yes
58754004,Cheboygan_Munro_GROW_018.jpg_Cheboygan_Munro_GROW_021.jpg,,Yes
58754800,Iron_Ottawa_GROW_088.jpg_Iron_Ottawa_GROW_089.jpg,,Yes
59070552,Otsego_Ford_SUMM_5.jpeg_Otsego_Ford_SUMM_10.jpeg,,Yes
59070553,Otsego_Ford_SUMM_7.jpeg_Otsego_Ford_SUMM_6.jpeg,,Yes
59672764,Kalkaska_PotHoles#2_LFCAS_003.jpg_Kalkaska_PotHoles#2_LFCAS_004.jpg,invalid filename,Yes
59672765,Kalkaska_PotHoles#1_LFCAS_003.jpg_Kalkaska_PotHoles#1_LFCAS_004.jpg,,Yes
59672766,Kalkaska_PotHoles#3_LFCAS_003.jpg_Kalkaska_PotHoles#3_LFCAS_004.jpg,invalid filename,Yes
59962465,ALPENA_9THSTREETDAM_GROW_0004_1,,Yes
59962786,CASS_BAIR_GROW_0002_2.jpeg_CASS_BARRON_GROW_0001_1.jpeg,,Yes
59962788,BRANCH_SILVER_GROW_0002_2.jpeg_BRANCH_SILVER_GROW_0003_1.jpeg,,Yes
59962793,BRANCH_SOUTH_GROW_0002_2.jpeg_BRANCH_UNION_GROW_0001.jpeg,,Yes
59962835,CALHOUN_LEES_GROW_0001.jpeg_CALHOUN_LEES_GROW_0002_1.jpeg,,Yes
59962838,CALHOUN_LEES_GROW_0004_2.jpeg_CALHOUN_LEES_GROW_0005_1.jpeg,,Yes
59962845,CALHOUN_MAYNARD_GROW_0001_2.jpeg_CALHOUN_MAYNARD_GROW_0002_1.jpeg,,Yes
59962854,CASS_BAIR_GROW_0002_2.jpeg_CASS_BARRON_GROW_0001_1.jpeg,,Yes
59962856,CASS_BAIR_GROW_0001_2.jpeg_CASS_BAIR_GROW_0002_1.jpeg,,Yes
59962858,CASS_BELAS_GROW_0001_2.jpeg_CASS_BIRCH_GROW_0001_1.jpeg,,Yes
59962866,CASS_DIAMOND_GROW_0003_2.jpeg_CASS_DONNELL_GROW_0001_1.jpeg,,Yes
59963335,Manistee_Bear_GROW_098.jpg_Manistee_Bear_GROW_099.jpg,,Yes
59963339,Manistee_Bear_GROW_125.jpg_Manistee_Bear_GROW_126.jpg,,Yes
59963479,ALCONA_CLEAR_FISHc_0005_1.jpeg_ALCONA_CLEAR_FISHc_0005_2.jpeg,FISHs ,Yes
59963487,ALCONA_CRYSTAL_FISHc_0006_1.jpeg_ALCONA_CRYSTAL_FISHc_0006_2.jpeg,FISHs ,Yes
59963993,NEWAYGO_PICKEREL12N13WSEC1_GROW_0005_1.jpeg_NEWAYGO_PICKEREL12N13WSEC1_GROW_0005_2.jpeg,,Yes
59964400,OGEMAW_CUTTING-DAMON_GROW_0001_1.jpeg_OGEMAW_CUTTING-DAMON_GROW_0001_2.jpeg,Should be LFCAS instead,Yes
59964401,OGEMAW_CLEART23NR1ES2_GROW_0002_1.jpeg_OGEMAW_CLEART23NR1ES2_GROW_0002_2.jpeg,Should be LFCAS instead,Yes
59964403,OGEMAW_DEVILSWASHBASIN_GROW_0001_1.jpeg_OGEMAW_DEVILSWASHBASIN_GROW_0001_2.jpeg,Should be LFCAS instead,Yes
59964406,OGEMAW_DEVILSWASHBASIN_GROW_0002_1.jpeg_OGEMAW_DEVILSWASHBASIN_GROW_0002_2.jpeg,Should be LFCAS instead,Yes
59964408,OGEMAW_DEVOE_GROW_0003_1.jpeg_OGEMAW_DEVOE_GROW_0003_2.jpeg,Should be LFCAS instead,Yes
59964410,OGEMAW_DEVOE_GROW_0004_1.jpeg_OGEMAW_DEVOE_GROW_0004_2.jpeg,Should be LFCAS instead,Yes
59964411,OGEMAW_ELBOW_GROW_0003_1.jpeg_OGEMAW_ELBOW_GROW_0003_2.jpeg,Should be LFCAS instead,Yes
59964412,OGEMAW_ELBOW_GROW_0002_1.jpeg_OGEMAW_ELBOW_GROW_0002_2.jpeg,Should be LFCAS instead,Yes
59964413,OGEMAW_ELBOW_GROW_0004_1.jpeg_OGEMAW_ELBOW_GROW_0004_2.jpeg,Should be LFCAS instead,Yes
