subject_id,workflow_id,subject_set_id,Full Subject Set Name,filename_1,filename_2,url_1,url_2,Notes
78235476,17771,106326,SS5_FISHc_Pages_Standard,ALPENA_BEAVER_FISHc_0001,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/ALPENA_BEAVER_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/ALPENA_BEAVER_FISHc_0001_2.jpeg,duplicate
79436907,17771,106861,fishc_pages_standard_reupload_problems,ALPENA_BEAVER_FISHc_0001,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/ALPENA_BEAVER_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/ALPENA_BEAVER_FISHc_0001_2.jpeg,duplicate
78235684,17771,106326,SS5_FISHc_Pages_Standard,BRANCH_COLDWATER_FISHc_0002,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/BRANCH_COLDWATER_FISHc_0002.jpeg,NA,different subjects + images
78235685,17771,106326,SS5_FISHc_Pages_Standard,BRANCH_COLDWATER_FISHc_0002_1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/BRANCH_COLDWATER_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/BRANCH_COLDWATER_FISHc_0002_2.jpeg,different subjects + images
78235697,17771,106326,SS5_FISHc_Pages_Standard,BRANCH_LAVINE_FISHc_0001,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/BRANCH_LAVINE_FISHc_0001.jpeg,NA,different subjects + images
78235698,17771,106326,SS5_FISHc_Pages_Standard,BRANCH_LAVINE_FISHc_0001_1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/BRANCH_LAVINE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/FISHc_pages/BRANCH_LAVINE_FISHc_0001_2.jpeg,different subjects + images
59073189,17771,93242,SS1 - GROW Double - A First (p1),Cheboygan_Douglas_GROW_053.jpg,Cheboygan_Douglas_GROW_054.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Douglas_GROW_053.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Douglas_GROW_054.jpg,duplicate
59152199,17771,93479,SS1 - GROW Double - A First (p1) [small reupload],Cheboygan_Douglas_GROW_053.jpg,Cheboygan_Douglas_GROW_054.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Douglas_GROW_053.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Douglas_GROW_054.jpg,duplicate
59073191,17771,93242,SS1 - GROW Double - A First (p1),Cheboygan_Douglas_GROW_075.jpg,Cheboygan_Douglas_GROW_076.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Douglas_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Douglas_GROW_076.jpg,duplicate
59152204,17771,93479,SS1 - GROW Double - A First (p1) [small reupload],Cheboygan_Douglas_GROW_075.jpg,Cheboygan_Douglas_GROW_076.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Douglas_GROW_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Douglas_GROW_076.jpg,"duplicate
"
