"new_key","lat_dd","long_dd","mdnrid","nhdid"
"1-1",44.59471,-83.7826,"L1710","83976821"
"1-10",44.58332,-83.71954,"L13311","83976843"
"1-109",44.60305,-83.63315,"L8881","83976719"
"1-113",44.60399,-83.60803,"L9765","83976679"
"1-115",44.68416,-83.41815,"L1283","83976169"
"1-116",44.6836,-83.43621,"L6472","83976181"
"1-12",44.58721,-83.72954,"L5305","83976833"
"1-121-125",NA,NA,NA,NA
"1-134",44.76221,-83.87204,"L1303","113471531"
"1-136",44.74305,-83.85565,"L2694","113471589"
"1-138",44.73555,-83.86954,"L10169","113471599"
"1-139",44.73666,-83.88204,"L8349","113471607"
"1-140",44.7298,-83.87639,"L5972","113471623"
"1-155",44.7036,-83.69954,"L3820","113471693"
"1-156",44.69793,-83.69529,"L8639","113471709"
"1-16",44.57055,-83.69899,"L852","83976899"
"1-165",44.80416,-83.55954,"L8105","113471457"
"1-166",44.70777,-83.54676,"L6983","113471605"
"1-17",44.57131,-83.68497,"L4693","83976883"
"1-172",44.69082,-83.53315,"L9280","83976187"
"1-176",44.70846,-83.46207,NA,NA
"1-179",44.68999,-83.40954,"L5705","83976131"
"1-18",44.56888,-83.68649,"L12104","83976903"
"1-181",44.73638,-83.39815,"L3844","122383329"
"1-184",44.68999,-83.3901,"L2661","83976127"
"1-185",44.69443,-83.37676,"L3837","122383340"
"1-189",44.7989,-83.76245,"L8742","113471397"
"1-19",44.56675,-83.68688,"L12202","83976911"
"1-191",44.79638,-83.45954,"L5010","113471281"
"1-192",44.78805,-83.49121,"L1308","113471335"
"1-193",44.78027,-83.48232,"L3993","113471353"
"1-194",44.77721,-83.43787,"L11570","113471343"
"1-195",44.82416,-83.31065,"L3509","122383290"
"1-196",44.80396,-83.331,"L11081","122383317"
"1-197",44.78797,-83.44508,NA,NA
"1-199",44.66058,-83.29435,"L18441","122383346"
"1-22",44.5536,-83.70871,"L11058","83976995"
"1-25",44.55306,-83.74183,"L7280","83976993"
"1-27",44.56072,-83.74556,"L479","83976961"
"1-28",44.54666,-83.7476,"L3999","83977019"
"1-29",44.53916,-83.7276,"L6745","83977025"
"1-32",44.54805,-83.68815,"L8445","83976999"
"1-35",44.52916,-83.70176,"L12565","83977075"
"1-39",44.51527,-83.66037,"L2938","83977091"
"1-4",44.56605,-83.80491,"L13031","83976953"
"1-47",44.59138,-83.61565,"L10102","83976743"
"1-52",44.53138,-83.33204,"L851","122383358"
"1-56",44.64131,-83.77397,"L13178","83976593"
"1-57",44.6436,-83.77593,"L11874","83976579"
"1-58",44.64308,-83.77947,"L3338","83976585"
"1-59",44.65065,-83.78844,"L6043","83976541"
"1-60",44.6516,-83.80547,"L3426","83976537"
"1-61",44.64443,-83.81537,"L8352","83976591"
"1-62",44.65221,-83.83037,"L11407","83976561"
"1-63",44.64138,-83.88232,"L5847","83976631"
"1-66",44.60832,-83.79426,"L8438","83976761"
"1-67",44.60027,-83.76704,"L838","83976781"
"1-74",44.65582,-83.69593,"L4441","83976455"
"1-78",44.64277,-83.68482,"L7554","83976529"
"1-79",44.63983,-83.6957,"L3688","83976553"
"1-83",44.62519,-83.74735,"L8553","83976643"
"1-87",44.62388,-83.67454,"L7596","83976621"
"1-93",44.60095,-83.73586,"L10980","83976769"
"1-97",44.60166,-83.6551,"L6595","83976721"
